title,ratings,numofRatings,First Recommendation is: ,Second Recommendation is: ,Third Recommendation is: ,Fourth Recommendation is: 
Boomerang (1992),2.8125,32,Cinema Paradiso (1988),Donnie Brasco (1997),What's Eating Gilbert Grape (1993),Sense and Sensibility (1995)
"Boot, Das (1981)",4.203980099502488,201,Basic Instinct (1992),"Wrong Trousers, The (1993)",Alien: Resurrection (1997),What's Eating Gilbert Grape (1993)
Booty Call (1997),2.1666666666666665,48,Pinocchio (1940),"Last of the Mohicans, The (1992)",Vertigo (1958),"River Wild, The (1994)"
Bottle Rocket (1996),3.4545454545454546,44,Bonnie and Clyde (1967),Amistad (1997),"Peacemaker, The (1997)","Cable Guy, The (1996)"
Bound (1996),3.8217054263565893,129,"Peacemaker, The (1997)",Wag the Dog (1997),Kolya (1996),"Cable Guy, The (1996)"
Boxing Helena (1993),2.2,15,Scream 2 (1997),Rosewood (1997),On Golden Pond (1981),Arsenic and Old Lace (1944)
Boy's Life 2 (1997),3.3333333333333335,6,Blade Runner (1982),"Birdcage, The (1996)",Austin Powers: International Man of Mystery (1997),Bonnie and Clyde (1967)
Boys (1996),3.3333333333333335,6,Absolute Power (1997),Air Force One (1997),Crash (1996),"Cable Guy, The (1996)"
Boys Life (1995),3.2,5,"American President, The (1995)",Cinema Paradiso (1988),Batman Forever (1995),Dead Poets Society (1989)
Boys in Venice (1996),1.0,2,,,,
"Boys of St. Vincent, The (1993)",3.3846153846153846,13,Broken Arrow (1996),Dante's Peak (1997),Beautiful Girls (1996),Down Periscope (1996)
Boys on the Side (1995),3.1470588235294117,34,Fly Away Home (1996),Cinema Paradiso (1988),Absolute Power (1997),"Long Kiss Goodnight, The (1996)"
"Boys, Les (1997)",3.3333333333333335,3,L.A. Confidential (1997),Good Will Hunting (1997),Jackie Brown (1997),"Full Monty, The (1997)"
"Brady Bunch Movie, The (1995)",2.8026315789473686,76,"Devil's Advocate, The (1997)","Remains of the Day, The (1993)","Edge, The (1997)",Mother (1996)
Braindead (1992),3.857142857142857,14,101 Dalmatians (1996),My Fair Lady (1964),"Time to Kill, A (1996)",My Best Friend's Wedding (1997)
Bram Stoker's Dracula (1992),3.158333333333333,120,"Crow, The (1994)",Boogie Nights (1997),"Last of the Mohicans, The (1992)","Boot, Das (1981)"
Brassed Off (1996),3.9375,32,Waterworld (1995),Reservoir Dogs (1992),Miracle on 34th Street (1994),"Good, The Bad and The Ugly, The (1966)"
Braveheart (1995),4.151515151515151,297,"Peacemaker, The (1997)",G.I. Jane (1997),"Ghost and the Darkness, The (1996)",Ghost (1990)
Brazil (1985),3.8173076923076925,208,"Fifth Element, The (1997)",Chinatown (1974),"Hudsucker Proxy, The (1994)",Heathers (1989)
Bread and Chocolate (Pane e cioccolata) (1973),3.1666666666666665,12,Dumbo (1941),"People vs. Larry Flynt, The (1996)",Father of the Bride Part II (1995),James and the Giant Peach (1996)
Breakdown (1997),3.4025974025974026,77,Bonnie and Clyde (1967),Searching for Bobby Fischer (1993),Strictly Ballroom (1992),Rear Window (1954)
Breakfast at Tiffany's (1961),3.7263157894736842,95,Wag the Dog (1997),Waterworld (1995),Rosewood (1997),On Golden Pond (1981)
Breaking the Waves (1996),3.72972972972973,74,"Crow, The (1994)",Alien: Resurrection (1997),In the Name of the Father (1993),Pinocchio (1940)
Bride of Frankenstein (1935),3.608695652173913,46,What's Eating Gilbert Grape (1993),G.I. Jane (1997),"People vs. Larry Flynt, The (1996)",Face/Off (1997)
"Bridge on the River Kwai, The (1957)",4.175757575757576,165,Mimic (1997),"Professional, The (1994)","Manchurian Candidate, The (1962)",True Romance (1993)
"Bridges of Madison County, The (1995)",3.1641791044776117,67,Little Women (1994),Amistad (1997),Kiss the Girls (1997),Crash (1996)
Bringing Up Baby (1938),3.838235294117647,68,Mimic (1997),Rosewood (1997),Star Trek VI: The Undiscovered Country (1991),Home Alone (1990)
Broken Arrow (1996),3.031496062992126,254,"Rock, The (1996)","Devil's Advocate, The (1997)",Con Air (1997),"Net, The (1995)"
Broken English (1996),2.25,8,"Ghost and the Darkness, The (1996)","Usual Suspects, The (1995)",M*A*S*H (1970),"Long Kiss Goodnight, The (1996)"
"Bronx Tale, A (1993)",3.7916666666666665,48,Amistad (1997),Down Periscope (1996),Like Water For Chocolate (Como agua para chocolate) (1992),"Close Shave, A (1995)"
Brother Minister: The Assassination of Malcolm X (1994),3.0,5,Army of Darkness (1993),"Adventures of Priscilla, Queen of the Desert, The (1994)",Crimson Tide (1995),Die Hard 2 (1990)
"Brother's Kiss, A (1997)",2.0,1,,,,
"Brothers McMullen, The (1995)",3.452054794520548,73,Clerks (1994),Tin Cup (1996),Event Horizon (1997),"Great Escape, The (1963)"
Brothers in Trouble (1995),4.0,1,,,,
"Browning Version, The (1994)",3.0,10,"Sting, The (1973)",Dragonheart (1996),"Crying Game, The (1992)",Kolya (1996)
Buddy (1997),2.25,4,"Lost World: Jurassic Park, The (1997)",Spawn (1997),Good Will Hunting (1997),Boogie Nights (1997)
Bulletproof (1996),3.204081632653061,49,Fly Away Home (1996),Ulee's Gold (1997),"Adventures of Priscilla, Queen of the Desert, The (1994)",Kolya (1996)
Bullets Over Broadway (1994),3.7209302325581395,86,"Ice Storm, The (1997)",Swingers (1996),Lost Highway (1997),Emma (1996)
Burnt By the Sun (1994),3.7083333333333335,24,"Peacemaker, The (1997)",Event Horizon (1997),One Fine Day (1996),"Lost World: Jurassic Park, The (1997)"
Burnt Offerings (1976),2.4444444444444446,9,Scream 2 (1997),Cop Land (1997),"Devil's Advocate, The (1997)",Outbreak (1995)
Bushwhacked (1995),1.5714285714285714,7,"Saint, The (1997)",William Shakespeare's Romeo and Juliet (1996),What's Eating Gilbert Grape (1993),In the Line of Fire (1993)
Butch Cassidy and the Sundance Kid (1969),3.949074074074074,216,"Sting, The (1973)",Strictly Ballroom (1992),Everyone Says I Love You (1996),"Manchurian Candidate, The (1962)"
"Butcher Boy, The (1998)",4.0,2,,,,
Butterfly Kiss (1995),1.0,1,,,,
"Bye Bye, Love (1995)",3.1333333333333333,15,Welcome to the Dollhouse (1995),Cool Hand Luke (1967),"Godfather, The (1972)",Ulee's Gold (1997)
C'est arrivé près de chez vous (1992),3.0,4,"Adventures of Priscilla, Queen of the Desert, The (1994)",Alien (1979),Cinema Paradiso (1988),Army of Darkness (1993)
Cabin Boy (1994),2.5625,16,My Fair Lady (1964),In & Out (1997),Jungle2Jungle (1997),"Good, The Bad and The Ugly, The (1966)"
"Cable Guy, The (1996)",2.339622641509434,106,"Ice Storm, The (1997)","Manchurian Candidate, The (1962)",Some Like It Hot (1959),Cold Comfort Farm (1995)
Calendar Girl (1993),2.0,3,Aliens (1986),Dumbo (1941),Schindler's List (1993),One Flew Over the Cuckoo's Nest (1975)
Canadian Bacon (1994),2.413793103448276,29,Ulee's Gold (1997),12 Angry Men (1957),James and the Giant Peach (1996),Welcome to the Dollhouse (1995)
"Candidate, The (1972)",3.641025641025641,39,Spawn (1997),"Devil's Advocate, The (1997)",Real Genius (1985),Mother (1996)
Candyman (1992),2.723076923076923,65,Donnie Brasco (1997),"Craft, The (1996)","Peacemaker, The (1997)",Ulee's Gold (1997)
Candyman: Farewell to the Flesh (1995),2.4285714285714284,21,On Golden Pond (1981),Emma (1996),Mr. Smith Goes to Washington (1939),"Peacemaker, The (1997)"
Cape Fear (1962),3.5232558139534884,86,Dante's Peak (1997),Snow White and the Seven Dwarfs (1937),"Frighteners, The (1996)","Time to Kill, A (1996)"
Cape Fear (1991),3.456140350877193,171,"Devil's Advocate, The (1997)",My Best Friend's Wedding (1997),Interview with the Vampire (1994),"Craft, The (1996)"
Captives (1994),2.3333333333333335,3,"Devil's Own, The (1997)",Conspiracy Theory (1997),Chasing Amy (1997),"River Wild, The (1994)"
Career Girls (1997),3.2564102564102564,39,Grumpier Old Men (1995),Star Trek: The Motion Picture (1979),Under Siege (1992),Apocalypse Now (1979)
Careful (1992),1.0,1,,,,
Carlito's Way (1993),3.4074074074074074,54,Jungle2Jungle (1997),Batman (1989),Sense and Sensibility (1995),Under Siege (1992)
Carmen Miranda: Bananas Is My Business (1994),1.5,2,Butch Cassidy and the Sundance Kid (1969),Babe (1995),Terminator 2: Judgment Day (1991),"Deer Hunter, The (1978)"
Caro Diario (Dear Diary) (1994),2.75,4,Get Shorty (1995),Dumbo (1941),Bonnie and Clyde (1967),Being There (1979)
Carpool (1996),2.8,5,Apollo 13 (1995),Cinderella (1950),Ransom (1996),Young Guns (1988)
Carrie (1976),3.5041322314049586,121,Kolya (1996),Welcome to the Dollhouse (1995),Alien: Resurrection (1997),Arsenic and Old Lace (1944)
Carried Away (1996),3.0,11,As Good As It Gets (1997),"Fish Called Wanda, A (1988)",Star Trek IV: The Voyage Home (1986),"Close Shave, A (1995)"
Carrington (1995),3.230769230769231,13,Cop Land (1997),"Rainmaker, The (1997)",Real Genius (1985),Shine (1996)
Casablanca (1942),4.45679012345679,243,"Maltese Falcon, The (1941)",Shine (1996),"African Queen, The (1951)",Austin Powers: International Man of Mystery (1997)
Casino (1995),3.6483516483516483,91,"Ice Storm, The (1997)","Hunchback of Notre Dame, The (1996)",Patton (1970),"Wrong Trousers, The (1993)"
Casper (1995),3.076923076923077,52,"Lost World: Jurassic Park, The (1997)",Spawn (1997),L.A. Confidential (1997),Casablanca (1942)
Castle Freak (1995),1.25,4,Bram Stoker's Dracula (1992),Twelve Monkeys (1995),Alien (1979),Titanic (1997)
Cat People (1982),2.8958333333333335,48,Ulee's Gold (1997),Michael (1996),Tombstone (1993),Everyone Says I Love You (1996)
Cat on a Hot Tin Roof (1958),3.9516129032258065,62,Rosewood (1997),Star Trek: Generations (1994),Beavis and Butt-head Do America (1996),Batman Forever (1995)
Cats Don't Dance (1997),2.84375,32,"Crying Game, The (1992)","Clockwork Orange, A (1971)",Down Periscope (1996),GoldenEye (1995)
Catwalk (1995),1.3333333333333333,3,Cinema Paradiso (1988),"Clockwork Orange, A (1971)",Heat (1995),"English Patient, The (1996)"
Caught (1996),3.25,8,"Clockwork Orange, A (1971)",Dave (1993),George of the Jungle (1997),Event Horizon (1997)
Celestial Clockwork (1994),4.0,2,,,,
"Celluloid Closet, The (1995)",3.892857142857143,56,Highlander (1986),Alien: Resurrection (1997),"Remains of the Day, The (1993)",Courage Under Fire (1996)
Celtic Pride (1996),2.2,15,Arsenic and Old Lace (1944),"Sex, Lies, and Videotape (1989)",Everyone Says I Love You (1996),"African Queen, The (1951)"
"Cement Garden, The (1993)",3.6,10,Braveheart (1995),"Devil's Own, The (1997)","Devil's Advocate, The (1997)",Kolya (1996)
Cemetery Man (Dellamorte Dellamore) (1994),2.869565217391304,23,"Philadelphia Story, The (1940)","Sex, Lies, and Videotape (1989)",Bonnie and Clyde (1967),"African Queen, The (1951)"
Century (1993),3.0,1,,,,
Chain Reaction (1996),2.7,80,Jungle2Jungle (1997),Strictly Ballroom (1992),"Ice Storm, The (1997)",Absolute Power (1997)
Chairman of the Board (1998),2.2222222222222223,9,Broken Arrow (1996),Cop Land (1997),"Rock, The (1996)",Kolya (1996)
"Chamber, The (1996)",3.0930232558139537,43,Scream 2 (1997),G.I. Jane (1997),"Long Kiss Goodnight, The (1996)",Seven Years in Tibet (1997)
Charade (1963),3.925,40,Mimic (1997),Beautiful Girls (1996),Rosewood (1997),"Game, The (1997)"
Chasers (1994),2.2,5,Star Trek IV: The Voyage Home (1986),Young Frankenstein (1974),Star Trek: Generations (1994),Independence Day (ID4) (1996)
Chasing Amy (1997),3.8390501319261214,379,Hoop Dreams (1994),"Frighteners, The (1996)","Hunchback of Notre Dame, The (1996)",Mars Attacks! (1996)
Children of the Corn: The Gathering (1996),1.3157894736842106,19,Donnie Brasco (1997),Jackie Brown (1997),Grumpier Old Men (1995),On Golden Pond (1981)
Children of the Revolution (1996),3.2,5,Ulee's Gold (1997),Tomorrow Never Dies (1997),As Good As It Gets (1997),Arsenic and Old Lace (1944)
Chinatown (1974),4.136054421768708,147,"Sex, Lies, and Videotape (1989)",Pinocchio (1940),Bonnie and Clyde (1967),Donnie Brasco (1997)
"Christmas Carol, A (1938)",4.057971014492754,69,Kolya (1996),"Wrong Trousers, The (1993)",Alien: Resurrection (1997),Ulee's Gold (1997)
Chungking Express (1994),3.5714285714285716,28,Outbreak (1995),Pinocchio (1940),Tombstone (1993),Father of the Bride Part II (1995)
"Ciao, Professore! (1993)",2.75,4,Mrs. Doubtfire (1993),Nikita (La Femme Nikita) (1990),"Right Stuff, The (1983)",Lone Star (1996)
Cinderella (1950),3.5813953488372094,129,Miracle on 34th Street (1994),"Nutty Professor, The (1996)",Donnie Brasco (1997),Arsenic and Old Lace (1944)
Cinema Paradiso (1988),4.1735537190082646,121,Tombstone (1993),Fried Green Tomatoes (1991),"Wrong Trousers, The (1993)",Rosewood (1997)
Circle of Friends (1995),3.486842105263158,76,Cinema Paradiso (1988),Bonnie and Clyde (1967),Ulee's Gold (1997),Cool Hand Luke (1967)
Citizen Kane (1941),4.292929292929293,198,Chinatown (1974),My Left Foot (1989),"Nutty Professor, The (1996)","Crying Game, The (1992)"
Citizen Ruth (1996),3.6222222222222222,45,Die Hard: With a Vengeance (1995),Murder at 1600 (1997),Fly Away Home (1996),Mary Poppins (1964)
City Hall (1996),3.1392405063291138,79,Kolya (1996),Dragonheart (1996),"Killing Fields, The (1984)",Harold and Maude (1971)
City Slickers II: The Legend of Curly's Gold (1994),2.5454545454545454,44,"Peacemaker, The (1997)",As Good As It Gets (1997),Cold Comfort Farm (1995),Young Guns (1988)
City of Angels (1998),3.0,8,Crimson Tide (1995),Star Trek: First Contact (1996),Absolute Power (1997),Cold Comfort Farm (1995)
City of Industry (1997),2.5,6,George of the Jungle (1997),Beautiful Girls (1996),Kingpin (1996),"Shawshank Redemption, The (1994)"
"City of Lost Children, The (1995)",3.7916666666666665,96,Fly Away Home (1996),Platoon (1986),Big Night (1996),"Rainmaker, The (1997)"
Clean Slate (1994),2.8,10,Basic Instinct (1992),"Shining, The (1980)",Cool Hand Luke (1967),Courage Under Fire (1996)
Clean Slate (Coup de Torchon) (1981),2.75,4,Apocalypse Now (1979),Ben-Hur (1959),Conan the Barbarian (1981),Dances with Wolves (1990)
Clear and Present Danger (1994),3.569832402234637,179,In the Line of Fire (1993),GoldenEye (1995),Absolute Power (1997),True Lies (1994)
Clerks (1994),3.804054054054054,148,"Magnificent Seven, The (1954)",12 Angry Men (1957),Ben-Hur (1959),Boogie Nights (1997)
"Client, The (1994)",3.381443298969072,97,Amistad (1997),Young Guns (1988),"Nightmare on Elm Street, A (1984)",Arsenic and Old Lace (1944)
Cliffhanger (1993),3.021505376344086,93,Ulee's Gold (1997),Star Trek: Generations (1994),"Great Escape, The (1963)",Clueless (1995)
Clockers (1995),3.0,33,Seven Years in Tibet (1997),"Magnificent Seven, The (1954)",Some Like It Hot (1959),Alien: Resurrection (1997)
"Clockwork Orange, A (1971)",3.909502262443439,221,Boogie Nights (1997),True Romance (1993),Event Horizon (1997),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)
"Close Shave, A (1995)",4.491071428571429,112,"Devil's Advocate, The (1997)","Rainmaker, The (1997)",Ulee's Gold (1997),Jackie Chan's First Strike (1996)
Clueless (1995),3.458823529411765,170,My Best Friend's Wedding (1997),Under Siege (1992),Bound (1996),Alien: Resurrection (1997)
Cobb (1994),2.8,15,Rosewood (1997),Chasing Amy (1997),Face/Off (1997),One Fine Day (1996)
Cold Comfort Farm (1995),3.824,125,Kiss the Girls (1997),Lone Star (1996),What's Eating Gilbert Grape (1993),My Left Foot (1989)
Coldblooded (1995),2.0,1,,,,
"Collectionneuse, La (1967)",2.0,2,"Boot, Das (1981)",Bonnie and Clyde (1967),Blade Runner (1982),"Clockwork Orange, A (1971)"
"Colonel Chabert, Le (1994)",3.5,4,Die Hard: With a Vengeance (1995),"Clockwork Orange, A (1971)",Die Hard (1988),Conan the Barbarian (1981)
Color of Night (1994),2.7333333333333334,15,Seven Years in Tibet (1997),Searching for Bobby Fischer (1993),Jackie Brown (1997),Kolya (1996)
Commandments (1997),2.6666666666666665,3,Grosse Pointe Blank (1997),Star Wars (1977),Chasing Amy (1997),"English Patient, The (1996)"
Con Air (1997),3.45985401459854,137,"Rainmaker, The (1997)",My Left Foot (1989),"Philadelphia Story, The (1940)",Ghost (1990)
Conan the Barbarian (1981),3.046728971962617,107,Big Night (1996),Jackie Brown (1997),My Best Friend's Wedding (1997),Welcome to the Dollhouse (1995)
Condition Red (1995),2.0,2,"Boot, Das (1981)",Die Hard 2 (1990),"Professional, The (1994)",Searching for Bobby Fischer (1993)
Coneheads (1993),2.2195121951219514,41,"Rainmaker, The (1997)",Alien: Resurrection (1997),North by Northwest (1959),Murder at 1600 (1997)
Congo (1995),2.4523809523809526,42,"Sex, Lies, and Videotape (1989)",My Best Friend's Wedding (1997),Cold Comfort Farm (1995),Michael (1996)
Conspiracy Theory (1997),3.4237288135593222,295,Outbreak (1995),Real Genius (1985),"River Wild, The (1994)",Batman Forever (1995)
Contact (1997),3.8035363457760316,509,Philadelphia (1993),"Mask, The (1994)",Young Guns (1988),Sling Blade (1996)
"Contempt (Mépris, Le) (1963)",3.0,9,Con Air (1997),Dead Poets Society (1989),"Full Monty, The (1997)",Courage Under Fire (1996)
"Convent, The (Convento, O) (1995)",2.5,2,Mighty Aphrodite (1995),"English Patient, The (1996)",Fargo (1996),Leaving Las Vegas (1995)
"Cook the Thief His Wife & Her Lover, The (1989)",3.024390243902439,82,Mother (1996),"Fifth Element, The (1997)","Long Kiss Goodnight, The (1996)",One Fine Day (1996)
Cool Hand Luke (1967),3.9939024390243905,164,Absolute Power (1997),Rumble in the Bronx (1995),Ulee's Gold (1997),Searching for Bobby Fischer (1993)
Cool Runnings (1993),3.161764705882353,68,Ulee's Gold (1997),"Magnificent Seven, The (1954)",Cinema Paradiso (1988),Henry V (1989)
Cop Land (1997),3.3771428571428572,175,Ben-Hur (1959),"Deer Hunter, The (1978)",Star Trek IV: The Voyage Home (1986),"Craft, The (1996)"
Cops and Robbersons (1994),2.3076923076923075,13,"Devil's Advocate, The (1997)",Rear Window (1954),Mr. Smith Goes to Washington (1939),"River Wild, The (1994)"
Copycat (1995),3.302325581395349,86,Fly Away Home (1996),Air Force One (1997),Volcano (1997),"River Wild, The (1994)"
"Corrina, Corrina (1994)",3.1538461538461537,39,"Edge, The (1997)",Amistad (1997),Jackie Brown (1997),My Best Friend's Wedding (1997)
Cosi (1996),4.0,4,Everyone Says I Love You (1996),Star Wars (1977),Jackie Brown (1997),"Long Kiss Goodnight, The (1996)"
Country Life (1994),1.5,2,Interview with the Vampire (1994),Cape Fear (1991),Dave (1993),Die Hard 2 (1990)
Courage Under Fire (1996),3.6108597285067874,221,Nikita (La Femme Nikita) (1990),Kolya (1996),"Manchurian Candidate, The (1962)","Frighteners, The (1996)"
"Cowboy Way, The (1994)",2.210526315789474,19,Cold Comfort Farm (1995),Lone Star (1996),Donnie Brasco (1997),Event Horizon (1997)
